, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",134,101,33,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",147,137,10,0,0
"""Safe Haven""",5,3,2,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",289,244,45,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",7,7,0,0,0
"""Substance abuse treatment facility or detox center""",5,5,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",18,17,1,0,0
"""Jail, prison or juvenile detention facility""",19,19,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Subtotal""",52,51,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",11,9,2,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,0,1,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",229,163,63,0,3
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",12,9,3,0,0
"""Hotel or motel paid for without emergency shelter voucher""",76,54,21,0,1
"""Staying or living in a friend''s room, apartment or house""",94,75,19,0,0
"""Staying or living in a family member''s room, apartment or house""",106,69,37,0,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",31,26,5,0,0
"""Subtotal""",565,410,151,0,4
"""Total""",906,705,197,0,4
