, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",74,49,25,0,0
"""8 to 14 days""",11,7,4,0,0
"""15 to 21 days""",15,9,6,0,0
"""22 to 30 days""",6,4,2,0,0
"""31 to 60 days""",24,16,8,0,0
"""61 to 180 days""",46,33,13,0,0
"""181 to 365 days""",43,24,19,0,0
"""366-730 days (1-2 years)""",30,30,0,0,0
"""731 days or more""",65,55,10,0,0
"""Total (persons moved into housing)""",314,227,87,0,0
"""Not yet moved into housing""",30,16,14,0,0
"""Data not collected""",25,21,4,0,0
"""Total persons""",369,264,105,0,0
