, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",32,20,12,0,0
"""8 to 14 days""",8,1,7,0,0
"""15 to 21 days""",4,2,2,0,0
"""22 to 30 days""",6,2,4,0,0
"""31 to 60 days""",9,7,2,0,0
"""61 to 180 days""",28,14,14,0,0
"""181 to 365 days""",32,13,19,0,0
"""366-730 days (1-2 years)""",27,19,8,0,0
"""731 days or more""",44,33,11,0,0
"""Total (persons moved into housing)""",190,111,79,0,0
"""Not yet moved into housing""",26,6,20,0,0
"""Data not collected""",12,7,5,0,0
"""Total persons""",228,124,104,0,0
