"""Total Number of Persons Served""",544
"""Number of Adults (age 18 or over)""",360
"""Number of Children (under age 18)""",183
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",96
"""Number of Adult Leavers""",57
"""Number of Adult and Head of Household Leavers""",57
"""Number of Stayers""",448
"""Number of Adult Stayers""",303
"""Number of Veterans""",22
"""Number of Chronically Homeless Persons""",78
"""Number of Youth Under Age 25""",23
"""Number of Parenting Youth Under Age 25 with Children""",6
"""Number of Adult Heads of Household""",294
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",94
