, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",282,27,55
"""MEDICARE""",52,16,9
"""State Children's Health Insurance Program""",3,0,1
"""Veteran's Administration (VA) Medical Services""",12,12,1
"""Employer - Provided Health Insurance""",19,0,9
"""Health Insurance obtained through COBRA""",1,0,1
"""Private Pay Health Insurance""",27,0,3
"""State Health Insurance for Adults""",5,0,2
"""Indian Health Services Program""",2,0,1
"""Other""",5,0,2
"""No Health Insurance""",166,12,25
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",21,56,0
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,341,0
"""1 Source of Health Insurance""",322,26,66
"""More than 1 Source of Health Insurance""",37,13,5
