, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",102,5,23
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",56,24,8
"""Social Security Disability Insurance (SSDI)""",44,11,9
"""VA Service - Connected Disability Compensation""",5,3,0
"""VA Non-Service Connected Disability Pension""",2,2,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,1,4
"""General Assistance (GA)""",1,0,0
"""Retirement Income from Social Security""",6,2,1
"""Pension or retirement income from a former job""",5,0,2
"""Child Support""",7,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",2,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,49,0
