, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",3,9,12,0.25,2,12,14,0.14,0,0,0,0.0
"""Supplemental Security Income (SSI)""",4,1,5,0.8,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",8,1,9,0.89,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,2,3,0.33,1,0,1,1.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""Other source""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""No Sources""",1,3,4,0.25,1,6,7,0.14,0,0,0,0.0
"""Unduplicated Total Adults""",17,15,32,,4,18,22,,0,0,0,
