report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,552,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adults (age 18 or over),410,all_persons,2014-11-01,2014-11-30,Q5a
Number of Children (under age 18),142,all_persons,2014-11-01,2014-11-30,Q5a
Number of Persons with Unknown Age,0,all_persons,2014-11-01,2014-11-30,Q5a
Number of Leavers,173,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adult Leavers,136,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adult and Head of Household Leavers,136,all_persons,2014-11-01,2014-11-30,Q5a
Number of Stayers,379,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adult Stayers,274,all_persons,2014-11-01,2014-11-30,Q5a
Number of Veterans,17,all_persons,2014-11-01,2014-11-30,Q5a
Number of Chronically Homeless Persons,19,all_persons,2014-11-01,2014-11-30,Q5a
Number of Youth Under Age 25,33,all_persons,2014-11-01,2014-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adult Heads of Household,305,all_persons,2014-11-01,2014-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2014-11-01,2014-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,89,all_persons,2014-11-01,2014-11-30,Q5a
