ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,19,all_persons,2014-11-01,2014-11-30,Q26b,without_children,19
Chronically Homeless ,19,all_persons,2014-11-01,2014-11-30,Q26b,with_children_and_adults,0
Chronically Homeless ,19,all_persons,2014-11-01,2014-11-30,Q26b,with_only_children,0
Chronically Homeless ,19,all_persons,2014-11-01,2014-11-30,Q26b,unknown_household_type,0
Not Chronically Homeless,404,all_persons,2014-11-01,2014-11-30,Q26b,without_children,175
Not Chronically Homeless,404,all_persons,2014-11-01,2014-11-30,Q26b,with_children_and_adults,229
Not Chronically Homeless,404,all_persons,2014-11-01,2014-11-30,Q26b,with_only_children,0
Not Chronically Homeless,404,all_persons,2014-11-01,2014-11-30,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2014-11-01,2014-11-30,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2014-11-01,2014-11-30,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2014-11-01,2014-11-30,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2014-11-01,2014-11-30,Q26b,unknown_household_type,0
Data Not Collected,125,all_persons,2014-11-01,2014-11-30,Q26b,without_children,109
Data Not Collected,125,all_persons,2014-11-01,2014-11-30,Q26b,with_children_and_adults,16
Data Not Collected,125,all_persons,2014-11-01,2014-11-30,Q26b,with_only_children,0
Data Not Collected,125,all_persons,2014-11-01,2014-11-30,Q26b,unknown_household_type,0
