count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_entry,212
No Sources,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,2
No Sources,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_exit_for_leavers,72
1 + Source(s),all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_entry,157
1 + Source(s),all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,2
1 + Source(s),all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_exit_for_leavers,57
Client Doesn't Know/Client Refused,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_entry,40
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,270
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_exit_for_leavers,6
