dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,0,all_persons,2014-11-01,2014-11-30,Q14b,without_children,0
Yes,0,all_persons,2014-11-01,2014-11-30,Q14b,with_children_and_adults,0
Yes,0,all_persons,2014-11-01,2014-11-30,Q14b,with_only_children,0
Yes,0,all_persons,2014-11-01,2014-11-30,Q14b,unknown_household_type,0
No,1,all_persons,2014-11-01,2014-11-30,Q14b,without_children,0
No,1,all_persons,2014-11-01,2014-11-30,Q14b,with_children_and_adults,1
No,1,all_persons,2014-11-01,2014-11-30,Q14b,with_only_children,0
No,1,all_persons,2014-11-01,2014-11-30,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q14b,unknown_household_type,0
Data Not Collected,52,all_persons,2014-11-01,2014-11-30,Q14b,without_children,35
Data Not Collected,52,all_persons,2014-11-01,2014-11-30,Q14b,with_children_and_adults,17
Data Not Collected,52,all_persons,2014-11-01,2014-11-30,Q14b,with_only_children,0
Data Not Collected,52,all_persons,2014-11-01,2014-11-30,Q14b,unknown_household_type,0
