exit_destination,total,population,start_date,end_date,question,category,household_type,count
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Owned by client, no ongoing subsidy",6,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
"Owned by client, no ongoing subsidy",6,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,6
"Owned by client, no ongoing subsidy",6,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Owned by client, no ongoing subsidy",6,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Owned by client, with ongoing subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
"Owned by client, with ongoing subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Owned by client, with ongoing subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Owned by client, with ongoing subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, no ongoing subsidy",60,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,28
"Rental by client, no ongoing subsidy",60,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,32
"Rental by client, no ongoing subsidy",60,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, no ongoing subsidy",60,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with VASH subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
"Rental by client, with VASH subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with VASH subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, with VASH subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, other ongoing subsidy",5,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,1
"Rental by client, other ongoing subsidy",5,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,4
"Rental by client, other ongoing subsidy",5,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, other ongoing subsidy",5,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
Permanent housing (other than RRH) for formerly homeless persons,0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
Permanent housing (other than RRH) for formerly homeless persons,0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,0
Permanent housing (other than RRH) for formerly homeless persons,0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
Permanent housing (other than RRH) for formerly homeless persons,0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Staying or living with family, permanent tenure",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
"Staying or living with family, permanent tenure",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Staying or living with family, permanent tenure",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Staying or living with family, permanent tenure",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Staying or living with friends, permanent tenure",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
"Staying or living with friends, permanent tenure",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Staying or living with friends, permanent tenure",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Staying or living with friends, permanent tenure",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with RRH or equivalent subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,without_children,0
"Rental by client, with RRH or equivalent subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with RRH or equivalent subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, with RRH or equivalent subsidy",0,all_persons,2014-11-01,2014-11-30,Q23c,Permanent Destinations,unknown_household_type,0
