, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",21,18,39,0.54,2,22,24,0.08,0,0,0,0.0
"""Supplemental Security Income (SSI)""",25,2,27,0.93,2,0,2,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",18,2,20,0.9,0,2,2,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",2,1,3,0.67,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,2,3,0.33,2,2,4,0.5,0,0,0,0.0
"""Retirement Income from Social Security""",4,0,4,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,1,2,0.5,1,7,8,0.13,0,0,0,0.0
"""Other source""",2,2,4,0.5,0,0,0,0.0,0,0,0,0.0
"""No Sources""",34,51,85,0.4,4,3,7,0.57,0,0,0,0.0
"""Unduplicated Total Adults""",88,76,164,,10,28,38,,0,0,0,
