, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",122,88,34,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",175,161,14,0,0
"""Safe Haven""",5,3,2,0,0
"""Host Home""",2,2,0,0,0
"""Subtotal""",306,256,50,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",8,8,0,0,0
"""Substance abuse treatment facility or detox center""",5,5,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",17,16,1,0,0
"""Jail, prison or juvenile detention facility""",25,25,0,0,0
"""Foster care home or foster care group home""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",57,56,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",8,8,0,0,0
"""Owned by client, with ongoing housing subsidy""",2,2,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,0,1,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",244,179,62,0,3
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",6,4,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",83,57,25,0,1
"""Staying or living in a friend''s room, apartment or house""",89,69,20,0,0
"""Staying or living in a family member''s room, apartment or house""",100,64,36,0,0
"""Client Doesn''t Know/Client Refused""",4,4,0,0,0
"""Data not collected""",35,28,7,0,0
"""Subtotal""",574,417,153,0,4
"""Total""",937,729,204,0,4
