"""Total Number of Persons Served""",1246
"""Number of Adults (age 18 or over)""",936
"""Number of Children (under age 18)""",301
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",371
"""Number of Adult Leavers""",319
"""Number of Adult and Head of Household Leavers""",319
"""Number of Stayers""",875
"""Number of Adult Stayers""",617
"""Number of Veterans""",49
"""Number of Chronically Homeless Persons""",124
"""Number of Youth Under Age 25""",84
"""Number of Parenting Youth Under Age 25 with Children""",17
"""Number of Adult Heads of Household""",763
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",179
