, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",258,9,64
"""Unemployment Insurance""",6,0,3
"""Supplemental Security Income (SSI)""",111,23,30
"""Social Security Disability Insurance (SSDI)""",85,12,23
"""VA Service - Connected Disability Compensation""",11,5,3
"""VA Non-Service Connected Disability Pension""",2,2,0
"""Private Disability Insurance""",2,1,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",18,1,7
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",13,3,4
"""Pension or retirement income from a former job""",4,1,0
"""Child Support""",18,0,10
"""Alimony and other spousal support""",1,0,0
"""Other Source""",9,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
