, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",76,62,14,0,0
"""8 to 14 days""",13,6,7,0,0
"""15 to 21 days""",18,10,8,0,0
"""22 to 30 days""",10,2,8,0,0
"""31 to 60 days""",27,22,5,0,0
"""61 to 180 days""",64,41,23,0,0
"""181 to 365 days""",34,23,11,0,0
"""366-730 days (1-2 years)""",30,28,2,0,0
"""731 days or more""",64,55,9,0,0
"""Total (persons moved into housing)""",336,249,87,0,0
"""Not yet moved into housing""",23,8,15,0,0
"""Data not collected""",23,19,4,0,0
"""Total persons""",382,276,106,0,0
