, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",20,8,3
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",26,17,1
"""Social Security Disability Insurance (SSDI)""",17,7,2
"""VA Service - Connected Disability Compensation""",6,5,0
"""VA Non-Service Connected Disability Pension""",2,1,0
"""Private Disability Insurance""",1,1,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",2,1,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",3,2,1
"""Pension or retirement income from a former job""",1,1,0
"""Child Support""",1,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,0,0
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,44,0
