"Organization Name" , "Organization ID" , "Project Name" , "Project ID" , "HMIS Project Type" , "Method for Tracking ES" , "Affiliated with a residential project" , "Project IDs of affiliations" , "CoC Number" , "Geocode" , "Victim Service Provider" , "HMIS Software Name" , "Report Start Date" , "Report End Date"
"Mercy House Parent","1286","Mercy House CHERP RRH (ESG-CV)",1918,"13",,,"","VA-513","510726",0,"ServicePoint",2020-01-01,2020-01-31
"Family Promise of Shenandoah","1628","Family Promise of Shenandoah- ES",1629,"1",0,,"","VA-513","519171",0,"ServicePoint",2020-01-01,2020-01-31
"Western Virginia CoC - BFZ","1183","The Laurel Center HIC Only ES DV",1791,"1",0,,"","VA-513","511674",1,"ServicePoint",2020-01-01,2020-01-31
"HRHA Parent","1537","HRHA Commerce Village PSH Units",1538,"3",,,"","VA-513","510726",0,"ServicePoint",2020-01-01,2020-01-31
"AIDS Response Effort - Parent","1193","AIDS Response Effort Prevention CHERP 1-21",1998,"12",,,"","VA-513","511674",0,"ServicePoint",2020-01-01,2020-01-31
"Harrisonburg Community Health Center-Valley AIDS Network(VAN) - Western CoC","1449","Hburg Care Mgmt HOPWA - TBRA (1514)",1514,"7",,,"","VA-513","510726",0,"ServicePoint",2020-01-01,2020-01-31
"Homeward","2","zCommunity Transitional Housing Program (closed)",1195,"12",,,"",,,0,"ServicePoint",2020-01-01,2020-01-31
"Western Virginia CoC - BFZ","1183","AIDS Response CHERP RRH 1-21",1990,"13",,,"","VA-513","519171",0,"ServicePoint",2020-01-01,2020-01-31
"AIDS Response Effort - Parent","1193","AIDS Response CHERP RRH (ESG-CV)",1915,"13",,,"","VA-513","511674",0,"ServicePoint",2020-01-01,2020-01-31
"Western Virginia CoC - BFZ","1183","ZCLOSED-Northwestern Community Services: SHP (CLOSED)",1185,"6",,0,"",,,0,"ServicePoint",2020-01-01,2020-01-31
,,"Harrisonburg & Rockingham Dental Clinic",1317,,,,"",,,0,"ServicePoint",2020-01-01,2020-01-31
"Harrisonburg Community Health Center-Valley AIDS Network(VAN) - Western CoC","1449","Hburg Care Mgmt - RYAN WHITE (1661)",1661,"7",,,"","VA-513","510726",0,"ServicePoint",2020-01-01,2020-01-31
,,"Harrisonburg Community Health Center",1331,,,,"",,,0,"ServicePoint",2020-01-01,2020-01-31
"Western Virginia CoC - BFZ","1183","First Step PARENT",1330,"1",0,,"",,,1,"ServicePoint",2020-01-01,2020-01-31
"Winchester DSS PARENT","1800","Winchester DSS ES BEDS for HIC",1801,"1",0,,"","VA-513","511674",0,"ServicePoint",2020-01-01,2020-01-31
,,"VAIL",1324,,,,"",,,0,"ServicePoint",2020-01-01,2020-01-31
"Central Intake - Parent","1300","CI - OTHER - NOT HOMELESS Western VA 513",1785,"14",,,"","VA-513","510726",0,"ServicePoint",2020-01-01,2020-01-31
"Western Virginia CoC - BFZ","1183","zBridge of Hope (closed)",1366,"7",,,"","VA-513",,0,"ServicePoint",2020-01-01,2020-01-31
"Harrisonburg Rockingham Community Resource Center (closed)","1287","Harrisonburg Rockingham Community Resource Center (closed)",1287,"6",,0,"",,,0,"ServicePoint",2020-01-01,2020-01-31
"Western SO - Sheltered Winchester/Frederick","1708","Western SO - Sheltered Winchester/Frederick",1708,"4",,,"","VA-513","510726",0,"ServicePoint",2020-01-01,2020-01-31
"House of Hope","1189","Front Royal House of Hope ES",1200,"1",0,,"","VA-513","519187",0,"ServicePoint",2020-01-01,2020-01-31
,,"Rockingham County Transportation Program",1319,,,,"",,,0,"ServicePoint",2020-01-01,2020-01-31
"AIDS Response Effort - Parent","1193","ARE HOPWA Case Mgmt",1523,"6",,0,"","VA-513",,0,"ServicePoint",2020-01-01,2020-01-31
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: In-House Homeless Prevention",1199,"7",,,"","VA-513",,0,"ServicePoint",2020-01-01,2020-01-31
"Elkton EAUS -Parent","1283","Elkton Area United Services EAUS: program",1298,"6",,0,"","VA-513","519165",0,"ServicePoint",2020-01-01,2020-01-31
"Western Virginia CoC - BFZ","1183","Shenandoah Alliance Hotel/Motel Vouchers CDBG",2049,"1",0,,"","VA-513","519171",0,"ServicePoint",2020-01-01,2020-01-31
"Mercy House Parent","1286","Mercy House Z: Rapid Rehousing NAEH (closed)",1294,"13",,,"","VA-513","510726",0,"ServicePoint",2020-01-01,2020-01-31
"Western Virginia CoC - BFZ","1183","Goodwill Winchester Vouchers DHCD/VHSP CDBG",2041,"1",0,,"","VA-513","511674",0,"ServicePoint",2020-01-01,2020-01-31
"Western Virginia CoC - BFZ","1183","Front Royal Presbyterian Church - Parent (closed)",1570,"6",,0,"","VA-513",,0,"ServicePoint",2020-01-01,2020-01-31
,,"Home to Home",1326,,,,"",,,0,"ServicePoint",2020-01-01,2020-01-31
"AIDS Response Effort - Parent","1193","ARE: CLOSED CLOSED HOPWA (OLD)",1202,"6",,0,"","VA-513",,0,"ServicePoint",2020-01-01,2020-01-31
