income_range,population,start_date,end_date,question,status,count
No Income,adults,2021-06-01,2021-06-30,Q16,income_at_start,363
No Income,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,10
No Income,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,74
$1 -  $150,adults,2021-06-01,2021-06-30,Q16,income_at_start,2
$1 -  $150,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,0
$151 - $250,adults,2021-06-01,2021-06-30,Q16,income_at_start,5
$151 - $250,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,0
$251 - $500,adults,2021-06-01,2021-06-30,Q16,income_at_start,24
$251 - $500,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,2
$251 - $500,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,5
$501 - $1000,adults,2021-06-01,2021-06-30,Q16,income_at_start,128
$501 - $1000,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,18
$501 - $1000,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,21
$1001 - $1500,adults,2021-06-01,2021-06-30,Q16,income_at_start,78
$1001 - $1500,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,14
$1001 - $1500,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,17
$1501 - $2000,adults,2021-06-01,2021-06-30,Q16,income_at_start,76
$1501 - $2000,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,6
$1501 - $2000,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,14
$2001+,adults,2021-06-01,2021-06-30,Q16,income_at_start,72
$2001+,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,4
$2001+,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,12
Client Doesn't Know/Client Refused,adults,2021-06-01,2021-06-30,Q16,income_at_start,1
Client Doesn't Know/Client Refused,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2021-06-01,2021-06-30,Q16,income_at_start,158
Data Not Collected,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,3
Data Not Collected,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,52
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2021-06-01,2021-06-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,354
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2021-06-01,2021-06-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,301
Number of Adult Stayers without Required Annual Assessment,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2021-06-01,2021-06-30,Q16,income_at_start,907
Total Adults,adults,2021-06-01,2021-06-30,Q16,income_at_latest_annual_assessment_for_stayers,712
Total Adults,adults,2021-06-01,2021-06-30,Q16,income_at_exit_for_leavers,195
