income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,9,15,24,0.38,3,5,8,0.38,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Supplemental Security Income (SSI),18,1,19,0.95,2,1,3,0.67,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Social Security Disability Insurance (SSDI),8,0,8,1.0,2,1,3,0.67,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
VA Service-Connected Disability Compensation,3,1,4,0.75,0,0,0,0.0,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1.0,0,1,1,0.0,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Retirement Income from Social Security,2,0,3,0.67,0,0,0,0.0,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Child Support,0,0,0,0.0,1,1,2,0.5,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Other source,3,0,3,1.0,1,0,1,1.0,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
No Sources,34,24,58,0.59,4,1,5,0.8,0,0,0,0.0,adults,2021-06-01,2021-06-30,Q19b
Unduplicated Total Adults,67,40,107,NA,13,8,21,NA,0,0,0,NA,adults,2021-06-01,2021-06-30,Q19b
