exit_destination,total,population,start_date,end_date,question,category,household_type,count
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,without_children,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_children_and_adults,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_only_children,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,unknown_household_type,0
"Owned by client, no ongoing subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,without_children,0
"Owned by client, no ongoing subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Owned by client, no ongoing subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_only_children,0
"Owned by client, no ongoing subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,unknown_household_type,0
"Owned by client, with ongoing subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,without_children,0
"Owned by client, with ongoing subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Owned by client, with ongoing subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_only_children,0
"Owned by client, with ongoing subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, no ongoing subsidy",42,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,without_children,23
"Rental by client, no ongoing subsidy",42,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_children_and_adults,19
"Rental by client, no ongoing subsidy",42,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, no ongoing subsidy",42,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with VASH subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,without_children,0
"Rental by client, with VASH subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with VASH subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, with VASH subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,without_children,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2021-06-01,2021-06-30,Q23c,Permanent Destinations,with_children_and_adults,0
