count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_entry,525
No Sources,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,22
No Sources,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_exit_for_leavers,97
1 + Source(s),all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_entry,279
1 + Source(s),all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,34
1 + Source(s),all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_exit_for_leavers,58
Client Doesn't Know/Client Refused,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_entry,3
Client Doesn't Know/Client Refused,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_entry,100
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,656
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-06-01,2021-06-30,Q20b,benefit_at_exit_for_leavers,39
