veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,18,all_persons,2021-06-01,2021-06-30,Q25a,without_children,18
Chronically Homeless Veteran,18,all_persons,2021-06-01,2021-06-30,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,18,all_persons,2021-06-01,2021-06-30,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,37,all_persons,2021-06-01,2021-06-30,Q25a,without_children,36
Non-Chronically Homeless Veteran,37,all_persons,2021-06-01,2021-06-30,Q25a,with_children_and_adults,1
Non-Chronically Homeless Veteran,37,all_persons,2021-06-01,2021-06-30,Q25a,unknown_household_type,0
Not a Veteran,834,all_persons,2021-06-01,2021-06-30,Q25a,without_children,688
Not a Veteran,834,all_persons,2021-06-01,2021-06-30,Q25a,with_children_and_adults,143
Not a Veteran,834,all_persons,2021-06-01,2021-06-30,Q25a,unknown_household_type,3
Client Doesn't Know/Client Refused,1,all_persons,2021-06-01,2021-06-30,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2021-06-01,2021-06-30,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2021-06-01,2021-06-30,Q25a,unknown_household_type,0
Data Not Collected,17,all_persons,2021-06-01,2021-06-30,Q25a,without_children,13
Data Not Collected,17,all_persons,2021-06-01,2021-06-30,Q25a,with_children_and_adults,4
Data Not Collected,17,all_persons,2021-06-01,2021-06-30,Q25a,unknown_household_type,0
