length_participation,total,population,start_date,end_date,question,status,count
30 days or less,11,youth,2021-06-01,2021-06-30,Q27e,leavers,8
30 days or less,11,youth,2021-06-01,2021-06-30,Q27e,stayers,3
31 to 60 days,4,youth,2021-06-01,2021-06-30,Q27e,leavers,0
31 to 60 days,4,youth,2021-06-01,2021-06-30,Q27e,stayers,4
61 to 90 days,4,youth,2021-06-01,2021-06-30,Q27e,leavers,2
61 to 90 days,4,youth,2021-06-01,2021-06-30,Q27e,stayers,2
91 to 180 days,7,youth,2021-06-01,2021-06-30,Q27e,leavers,3
91 to 180 days,7,youth,2021-06-01,2021-06-30,Q27e,stayers,4
181 to 365 days,13,youth,2021-06-01,2021-06-30,Q27e,leavers,5
181 to 365 days,13,youth,2021-06-01,2021-06-30,Q27e,stayers,8
366 to 730 Days (1-2 Yrs),10,youth,2021-06-01,2021-06-30,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),10,youth,2021-06-01,2021-06-30,Q27e,stayers,10
"731 to 1,095 Days (2-3 Yrs)",6,youth,2021-06-01,2021-06-30,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",6,youth,2021-06-01,2021-06-30,Q27e,stayers,6
"1,096 to 1,460 Days (3-4 Yrs)",3,youth,2021-06-01,2021-06-30,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",3,youth,2021-06-01,2021-06-30,Q27e,stayers,3
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2021-06-01,2021-06-30,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2021-06-01,2021-06-30,Q27e,stayers,2
"More than 1,825 Days (>5 Yrs)",3,youth,2021-06-01,2021-06-30,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",3,youth,2021-06-01,2021-06-30,Q27e,stayers,3
Data Not Collected,0,youth,2021-06-01,2021-06-30,Q27e,leavers,0
Data Not Collected,0,youth,2021-06-01,2021-06-30,Q27e,stayers,0
