report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1160,all_persons,2021-06-01,2021-06-30,Q5a
Number of Adults (age 18 or over),907,all_persons,2021-06-01,2021-06-30,Q5a
Number of Children (under age 18),243,all_persons,2021-06-01,2021-06-30,Q5a
Number of Persons with Unknown Age,10,all_persons,2021-06-01,2021-06-30,Q5a
Number of Leavers,239,all_persons,2021-06-01,2021-06-30,Q5a
Number of Adult Leavers,195,all_persons,2021-06-01,2021-06-30,Q5a
Number of Adult and Head of Household Leavers,195,all_persons,2021-06-01,2021-06-30,Q5a
Number of Stayers,921,all_persons,2021-06-01,2021-06-30,Q5a
Number of Adult Stayers,712,all_persons,2021-06-01,2021-06-30,Q5a
Number of Veterans,55,all_persons,2021-06-01,2021-06-30,Q5a
Number of Chronically Homeless Persons,178,all_persons,2021-06-01,2021-06-30,Q5a
Number of Youth Under Age 25,63,all_persons,2021-06-01,2021-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2021-06-01,2021-06-30,Q5a
Number of Adult Heads of Household,745,all_persons,2021-06-01,2021-06-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2021-06-01,2021-06-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,358,all_persons,2021-06-01,2021-06-30,Q5a
