report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,573,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adults (age 18 or over),419,all_persons,2014-12-01,2014-12-31,Q5a
Number of Children (under age 18),154,all_persons,2014-12-01,2014-12-31,Q5a
Number of Persons with Unknown Age,0,all_persons,2014-12-01,2014-12-31,Q5a
Number of Leavers,180,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adult Leavers,134,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adult and Head of Household Leavers,134,all_persons,2014-12-01,2014-12-31,Q5a
Number of Stayers,393,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adult Stayers,285,all_persons,2014-12-01,2014-12-31,Q5a
Number of Veterans,19,all_persons,2014-12-01,2014-12-31,Q5a
Number of Chronically Homeless Persons,26,all_persons,2014-12-01,2014-12-31,Q5a
Number of Youth Under Age 25,32,all_persons,2014-12-01,2014-12-31,Q5a
Number of Parenting Youth Under Age 25 with Children,13,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adult Heads of Household,323,all_persons,2014-12-01,2014-12-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2014-12-01,2014-12-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,89,all_persons,2014-12-01,2014-12-31,Q5a
