report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1249,all_persons,2021-01-01,2021-01-31,Q5a
Number of Adults (age 18 or over),981,all_persons,2021-01-01,2021-01-31,Q5a
Number of Children (under age 18),257,all_persons,2021-01-01,2021-01-31,Q5a
Number of Persons with Unknown Age,11,all_persons,2021-01-01,2021-01-31,Q5a
Number of Leavers,237,all_persons,2021-01-01,2021-01-31,Q5a
Number of Adult Leavers,207,all_persons,2021-01-01,2021-01-31,Q5a
Number of Adult and Head of Household Leavers,209,all_persons,2021-01-01,2021-01-31,Q5a
Number of Stayers,1012,all_persons,2021-01-01,2021-01-31,Q5a
Number of Adult Stayers,774,all_persons,2021-01-01,2021-01-31,Q5a
Number of Veterans,55,all_persons,2021-01-01,2021-01-31,Q5a
Number of Chronically Homeless Persons,197,all_persons,2021-01-01,2021-01-31,Q5a
Number of Youth Under Age 25,76,all_persons,2021-01-01,2021-01-31,Q5a
Number of Parenting Youth Under Age 25 with Children,15,all_persons,2021-01-01,2021-01-31,Q5a
Number of Adult Heads of Household,815,all_persons,2021-01-01,2021-01-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2021-01-01,2021-01-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,318,all_persons,2021-01-01,2021-01-31,Q5a
