number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,160
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,30
Adults with Only Other Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,217
Adults with Only Other Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,35
Adults with Only Other Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,32
Adults with Both Earned and Other Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,30
Adults with Both Earned and Other Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,548
Adults with No Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,15
Adults with No Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,139
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,19
Adults with Missing Income Information,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,457
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,260
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,981
Total Adults,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,774
Total Adults,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,207
1 or More Source of Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,452
1 or More Source of Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,43
1 or More Source of Income,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,76
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_annual_assessment_stayers,57
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-01-01,2021-01-31,Q18,number_of_adults_at_exit_leavers,0
