conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,42,3,0,exit,2021-01-01,2021-01-31,Q13b1,without_children,38
Mental Health Disorder,42,3,0,exit,2021-01-01,2021-01-31,Q13b1,with_only_children,0
Mental Health Disorder,42,3,0,exit,2021-01-01,2021-01-31,Q13b1,unknown_household_type,1
Alcohol Use Disorder,10,0,0,exit,2021-01-01,2021-01-31,Q13b1,without_children,10
Alcohol Use Disorder,10,0,0,exit,2021-01-01,2021-01-31,Q13b1,with_only_children,0
Alcohol Use Disorder,10,0,0,exit,2021-01-01,2021-01-31,Q13b1,unknown_household_type,0
Drug Use Disorder,10,0,0,exit,2021-01-01,2021-01-31,Q13b1,without_children,9
Drug Use Disorder,10,0,0,exit,2021-01-01,2021-01-31,Q13b1,with_only_children,0
Drug Use Disorder,10,0,0,exit,2021-01-01,2021-01-31,Q13b1,unknown_household_type,1
Both Alcohol and Drug Use Disorders,7,0,0,exit,2021-01-01,2021-01-31,Q13b1,without_children,7
Both Alcohol and Drug Use Disorders,7,0,0,exit,2021-01-01,2021-01-31,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,7,0,0,exit,2021-01-01,2021-01-31,Q13b1,unknown_household_type,0
Chronic Health Condition,24,1,0,exit,2021-01-01,2021-01-31,Q13b1,without_children,23
Chronic Health Condition,24,1,0,exit,2021-01-01,2021-01-31,Q13b1,with_only_children,0
Chronic Health Condition,24,1,0,exit,2021-01-01,2021-01-31,Q13b1,unknown_household_type,0
HIV/AIDS,0,0,0,exit,2021-01-01,2021-01-31,Q13b1,without_children,0
HIV/AIDS,0,0,0,exit,2021-01-01,2021-01-31,Q13b1,with_only_children,0
HIV/AIDS,0,0,0,exit,2021-01-01,2021-01-31,Q13b1,unknown_household_type,0
Development Disability,9,0,3,exit,2021-01-01,2021-01-31,Q13b1,without_children,6
Development Disability,9,0,3,exit,2021-01-01,2021-01-31,Q13b1,with_only_children,0
Development Disability,9,0,3,exit,2021-01-01,2021-01-31,Q13b1,unknown_household_type,0
Physical Disability,23,0,1,exit,2021-01-01,2021-01-31,Q13b1,without_children,22
Physical Disability,23,0,1,exit,2021-01-01,2021-01-31,Q13b1,with_only_children,0
Physical Disability,23,0,1,exit,2021-01-01,2021-01-31,Q13b1,unknown_household_type,0
