number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,86
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,4
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,18
Adults with Only Other Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,105
Adults with Only Other Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,33
Adults with Only Other Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,18
Adults with Both Earned and Other Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,16
Adults with Both Earned and Other Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,147
Adults with No Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,11
Adults with No Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,16
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,6
Adults with Missing Income Information,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,209
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,45
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,360
Total Adults,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,303
Total Adults,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,57
1 or More Source of Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,220
1 or More Source of Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,41
1 or More Source of Income,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,42
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_annual_assessment_stayers,49
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-08-01,2018-08-31,Q18,number_of_adults_at_exit_leavers,0
