persons_served,total,population,start_date,end_date,question,household_type,count
Adults,360,all_persons,2018-08-01,2018-08-31,Q7a,without_children,245
Adults,360,all_persons,2018-08-01,2018-08-31,Q7a,with_children_and_adults,115
Adults,360,all_persons,2018-08-01,2018-08-31,Q7a,with_only_children,0
Adults,360,all_persons,2018-08-01,2018-08-31,Q7a,unknown_household_type,0
Children,183,all_persons,2018-08-01,2018-08-31,Q7a,without_children,0
Children,183,all_persons,2018-08-01,2018-08-31,Q7a,with_children_and_adults,168
Children,183,all_persons,2018-08-01,2018-08-31,Q7a,with_only_children,15
Children,183,all_persons,2018-08-01,2018-08-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2018-08-01,2018-08-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-08-01,2018-08-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2018-08-01,2018-08-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-08-01,2018-08-31,Q7a,unknown_household_type,0
Data Not Collected,1,all_persons,2018-08-01,2018-08-31,Q7a,without_children,0
Data Not Collected,1,all_persons,2018-08-01,2018-08-31,Q7a,with_children_and_adults,0
Data Not Collected,1,all_persons,2018-08-01,2018-08-31,Q7a,with_only_children,0
Data Not Collected,1,all_persons,2018-08-01,2018-08-31,Q7a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,145,all_persons,2018-08-01,2018-08-31,Q7a,without_children,82
For PSH and RRH - the total persons served who moved into housing,145,all_persons,2018-08-01,2018-08-31,Q7a,with_children_and_adults,63
For PSH and RRH - the total persons served who moved into housing,145,all_persons,2018-08-01,2018-08-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,145,all_persons,2018-08-01,2018-08-31,Q7a,unknown_household_type,0
