report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,544,all_persons,2018-08-01,2018-08-31,Q5a
Number of Adults (age 18 or over),360,all_persons,2018-08-01,2018-08-31,Q5a
Number of Children (under age 18),183,all_persons,2018-08-01,2018-08-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2018-08-01,2018-08-31,Q5a
Number of Leavers,96,all_persons,2018-08-01,2018-08-31,Q5a
Number of Adult Leavers,57,all_persons,2018-08-01,2018-08-31,Q5a
Number of Adult and Head of Household Leavers,57,all_persons,2018-08-01,2018-08-31,Q5a
Number of Stayers,448,all_persons,2018-08-01,2018-08-31,Q5a
Number of Adult Stayers,303,all_persons,2018-08-01,2018-08-31,Q5a
Number of Veterans,22,all_persons,2018-08-01,2018-08-31,Q5a
Number of Chronically Homeless Persons,78,all_persons,2018-08-01,2018-08-31,Q5a
Number of Youth Under Age 25,23,all_persons,2018-08-01,2018-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,6,all_persons,2018-08-01,2018-08-31,Q5a
Number of Adult Heads of Household,294,all_persons,2018-08-01,2018-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2018-08-01,2018-08-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,94,all_persons,2018-08-01,2018-08-31,Q5a
