race,total,population,start_date,end_date,question,household_type,count
White,377,all_persons,2018-08-01,2018-08-31,Q12a,without_children,172
White,377,all_persons,2018-08-01,2018-08-31,Q12a,with_children_and_adults,194
White,377,all_persons,2018-08-01,2018-08-31,Q12a,with_only_children,11
White,377,all_persons,2018-08-01,2018-08-31,Q12a,unknown_household_type,0
"Black, African American, or African",126,all_persons,2018-08-01,2018-08-31,Q12a,without_children,62
"Black, African American, or African",126,all_persons,2018-08-01,2018-08-31,Q12a,with_children_and_adults,60
"Black, African American, or African",126,all_persons,2018-08-01,2018-08-31,Q12a,with_only_children,4
"Black, African American, or African",126,all_persons,2018-08-01,2018-08-31,Q12a,unknown_household_type,0
Asian or Asian American,1,all_persons,2018-08-01,2018-08-31,Q12a,without_children,1
Asian or Asian American,1,all_persons,2018-08-01,2018-08-31,Q12a,with_children_and_adults,0
Asian or Asian American,1,all_persons,2018-08-01,2018-08-31,Q12a,with_only_children,0
Asian or Asian American,1,all_persons,2018-08-01,2018-08-31,Q12a,unknown_household_type,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2018-08-01,2018-08-31,Q12a,without_children,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2018-08-01,2018-08-31,Q12a,with_children_and_adults,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2018-08-01,2018-08-31,Q12a,with_only_children,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2018-08-01,2018-08-31,Q12a,unknown_household_type,0
Native Hawaiian or Pacific Islander,2,all_persons,2018-08-01,2018-08-31,Q12a,without_children,1
Native Hawaiian or Pacific Islander,2,all_persons,2018-08-01,2018-08-31,Q12a,with_children_and_adults,1
Native Hawaiian or Pacific Islander,2,all_persons,2018-08-01,2018-08-31,Q12a,with_only_children,0
Native Hawaiian or Pacific Islander,2,all_persons,2018-08-01,2018-08-31,Q12a,unknown_household_type,0
Multiple Races,34,all_persons,2018-08-01,2018-08-31,Q12a,without_children,6
Multiple Races,34,all_persons,2018-08-01,2018-08-31,Q12a,with_children_and_adults,28
Multiple Races,34,all_persons,2018-08-01,2018-08-31,Q12a,with_only_children,0
Multiple Races,34,all_persons,2018-08-01,2018-08-31,Q12a,unknown_household_type,0
Client Doesn't Know/Client Refused,3,all_persons,2018-08-01,2018-08-31,Q12a,without_children,3
Client Doesn't Know/Client Refused,3,all_persons,2018-08-01,2018-08-31,Q12a,with_children_and_adults,0
Client Doesn't Know/Client Refused,3,all_persons,2018-08-01,2018-08-31,Q12a,with_only_children,0
Client Doesn't Know/Client Refused,3,all_persons,2018-08-01,2018-08-31,Q12a,unknown_household_type,0
Data Not Collected,1,all_persons,2018-08-01,2018-08-31,Q12a,without_children,0
Data Not Collected,1,all_persons,2018-08-01,2018-08-31,Q12a,with_children_and_adults,0
Data Not Collected,1,all_persons,2018-08-01,2018-08-31,Q12a,with_only_children,0
Data Not Collected,1,all_persons,2018-08-01,2018-08-31,Q12a,unknown_household_type,1
