conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_start,14
Mental Health Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_latest_assessment_for_stayers,12
Mental Health Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_exit_for_leavers,2
Alcohol Use Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_start,4
Alcohol Use Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_latest_assessment_for_stayers,4
Alcohol Use Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_exit_for_leavers,0
Drug Use Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_start,3
Drug Use Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_latest_assessment_for_stayers,3
Drug Use Disorder,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_start,1
Both Alcohol and Drug Use Disorders,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_latest_assessment_for_stayers,1
Both Alcohol and Drug Use Disorders,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_exit_for_leavers,0
Chronic Health Condition,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_start,8
Chronic Health Condition,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_latest_assessment_for_stayers,7
Chronic Health Condition,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_exit_for_leavers,1
HIV/AIDS,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_start,2
HIV/AIDS,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_latest_assessment_for_stayers,2
HIV/AIDS,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_exit_for_leavers,0
Development Disability,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_start,2
Development Disability,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_latest_assessment_for_stayers,1
Development Disability,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_exit_for_leavers,1
Physical Disability,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_start,12
Physical Disability,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_latest_assessment_for_stayers,8
Physical Disability,veterans,2018-03-01,2018-03-31,Q25e,conditions_at_exit_for_leavers,4
