report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,583,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adults (age 18 or over),436,all_persons,2018-03-01,2018-03-31,Q5a
Number of Children (under age 18),145,all_persons,2018-03-01,2018-03-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-03-01,2018-03-31,Q5a
Number of Leavers,143,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adult Leavers,108,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adult and Head of Household Leavers,109,all_persons,2018-03-01,2018-03-31,Q5a
Number of Stayers,440,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adult Stayers,328,all_persons,2018-03-01,2018-03-31,Q5a
Number of Veterans,33,all_persons,2018-03-01,2018-03-31,Q5a
Number of Chronically Homeless Persons,82,all_persons,2018-03-01,2018-03-31,Q5a
Number of Youth Under Age 25,25,all_persons,2018-03-01,2018-03-31,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2018-03-01,2018-03-31,Q5a
Number of Adult Heads of Household,370,all_persons,2018-03-01,2018-03-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2018-03-01,2018-03-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,114,all_persons,2018-03-01,2018-03-31,Q5a
