ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),983,all_persons,2020-04-01,2020-04-30,Q12b,without_children,631
Non-Hispanic/Non-Latin(a)(o)(x),983,all_persons,2020-04-01,2020-04-30,Q12b,with_children_and_adults,329
Non-Hispanic/Non-Latin(a)(o)(x),983,all_persons,2020-04-01,2020-04-30,Q12b,with_only_children,13
Non-Hispanic/Non-Latin(a)(o)(x),983,all_persons,2020-04-01,2020-04-30,Q12b,unknown_household_type,10
Hispanic/Latin(a)(o)(x),94,all_persons,2020-04-01,2020-04-30,Q12b,without_children,41
Hispanic/Latin(a)(o)(x),94,all_persons,2020-04-01,2020-04-30,Q12b,with_children_and_adults,51
Hispanic/Latin(a)(o)(x),94,all_persons,2020-04-01,2020-04-30,Q12b,with_only_children,2
Hispanic/Latin(a)(o)(x),94,all_persons,2020-04-01,2020-04-30,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,3,all_persons,2020-04-01,2020-04-30,Q12b,without_children,2
Client Doesn't Know/Client Refused,3,all_persons,2020-04-01,2020-04-30,Q12b,with_children_and_adults,1
Client Doesn't Know/Client Refused,3,all_persons,2020-04-01,2020-04-30,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,3,all_persons,2020-04-01,2020-04-30,Q12b,unknown_household_type,0
Data Not Collected,5,all_persons,2020-04-01,2020-04-30,Q12b,without_children,1
Data Not Collected,5,all_persons,2020-04-01,2020-04-30,Q12b,with_children_and_adults,1
Data Not Collected,5,all_persons,2020-04-01,2020-04-30,Q12b,with_only_children,0
Data Not Collected,5,all_persons,2020-04-01,2020-04-30,Q12b,unknown_household_type,3
