count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,528,115,186,start,2020-04-01,2020-04-30,Q13a2,without_children,206
None,528,115,186,start,2020-04-01,2020-04-30,Q13a2,with_only_children,12
None,528,115,186,start,2020-04-01,2020-04-30,Q13a2,unknown_household_type,9
1 Condition,243,22,10,start,2020-04-01,2020-04-30,Q13a2,without_children,210
1 Condition,243,22,10,start,2020-04-01,2020-04-30,Q13a2,with_only_children,0
1 Condition,243,22,10,start,2020-04-01,2020-04-30,Q13a2,unknown_household_type,1
2 Conditions,120,7,2,start,2020-04-01,2020-04-30,Q13a2,without_children,111
2 Conditions,120,7,2,start,2020-04-01,2020-04-30,Q13a2,with_only_children,0
2 Conditions,120,7,2,start,2020-04-01,2020-04-30,Q13a2,unknown_household_type,0
3+ Conditions,94,3,0,start,2020-04-01,2020-04-30,Q13a2,without_children,91
3+ Conditions,94,3,0,start,2020-04-01,2020-04-30,Q13a2,with_only_children,0
3+ Conditions,94,3,0,start,2020-04-01,2020-04-30,Q13a2,unknown_household_type,0
Condition Unknown,46,3,1,start,2020-04-01,2020-04-30,Q13a2,without_children,42
Condition Unknown,46,3,1,start,2020-04-01,2020-04-30,Q13a2,with_only_children,0
Condition Unknown,46,3,1,start,2020-04-01,2020-04-30,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,3,0,0,start,2020-04-01,2020-04-30,Q13a2,without_children,3
Client Doesn't Know/Client Refused,3,0,0,start,2020-04-01,2020-04-30,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,3,0,0,start,2020-04-01,2020-04-30,Q13a2,unknown_household_type,0
Data Not Collected,51,8,25,start,2020-04-01,2020-04-30,Q13a2,without_children,12
Data Not Collected,51,8,25,start,2020-04-01,2020-04-30,Q13a2,with_only_children,3
Data Not Collected,51,8,25,start,2020-04-01,2020-04-30,Q13a2,unknown_household_type,3
