report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1085,all_persons,2020-04-01,2020-04-30,Q5a
Number of Adults (age 18 or over),837,all_persons,2020-04-01,2020-04-30,Q5a
Number of Children (under age 18),239,all_persons,2020-04-01,2020-04-30,Q5a
Number of Persons with Unknown Age,9,all_persons,2020-04-01,2020-04-30,Q5a
Number of Leavers,217,all_persons,2020-04-01,2020-04-30,Q5a
Number of Adult Leavers,187,all_persons,2020-04-01,2020-04-30,Q5a
Number of Adult and Head of Household Leavers,187,all_persons,2020-04-01,2020-04-30,Q5a
Number of Stayers,868,all_persons,2020-04-01,2020-04-30,Q5a
Number of Adult Stayers,650,all_persons,2020-04-01,2020-04-30,Q5a
Number of Veterans,48,all_persons,2020-04-01,2020-04-30,Q5a
Number of Chronically Homeless Persons,148,all_persons,2020-04-01,2020-04-30,Q5a
Number of Youth Under Age 25,62,all_persons,2020-04-01,2020-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2020-04-01,2020-04-30,Q5a
Number of Adult Heads of Household,683,all_persons,2020-04-01,2020-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2020-04-01,2020-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,214,all_persons,2020-04-01,2020-04-30,Q5a
