number_of_chronically_homeless_persons_by_income_category,population,start_date,end_date,question,status,count
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,14
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,7
"Chronically Homeless Persons with Only Earned Income (i.e., Employment Income)",chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Only Other Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,51
Chronically Homeless Persons with Only Other Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,23
Chronically Homeless Persons with Only Other Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,6
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,5
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,1
Chronically Homeless Persons with Both Earned and Other Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,1
Chronically Homeless Persons with No Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,68
Chronically Homeless Persons with No Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,12
Chronically Homeless Persons with No Income,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,9
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Client Doesn't Know/Client Refused Income Information,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,0
Chronically Homeless Persons with Missing Income Information,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,76
Number of Chronically Homeless Persons not yet required to have an annual assessment,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,0
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,3
Number of Chronically Homeless Persons without required annual assessment,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,0
Total Chronically Homeless Persons,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_start,138
Total Chronically Homeless Persons,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_annual_assessment_stayers,122
Total Chronically Homeless Persons,chronically_homeless,2020-04-01,2020-04-30,Q26f,number_of_chronically_homeless_persons_at_exit_leavers,16
