pit_month,total,population,start_date,end_date,question,household_type,count
January,0,all_households,2020-04-01,2020-04-30,Q8b,without_children,0
January,0,all_households,2020-04-01,2020-04-30,Q8b,with_children_and_adults,0
January,0,all_households,2020-04-01,2020-04-30,Q8b,with_only_children,0
January,0,all_households,2020-04-01,2020-04-30,Q8b,unknown_household_type,0
April,528,all_households,2020-04-01,2020-04-30,Q8b,without_children,450
April,528,all_households,2020-04-01,2020-04-30,Q8b,with_children_and_adults,76
April,528,all_households,2020-04-01,2020-04-30,Q8b,with_only_children,0
April,528,all_households,2020-04-01,2020-04-30,Q8b,unknown_household_type,2
July,0,all_households,2020-04-01,2020-04-30,Q8b,without_children,0
July,0,all_households,2020-04-01,2020-04-30,Q8b,with_children_and_adults,0
July,0,all_households,2020-04-01,2020-04-30,Q8b,with_only_children,0
July,0,all_households,2020-04-01,2020-04-30,Q8b,unknown_household_type,0
October,0,all_households,2020-04-01,2020-04-30,Q8b,without_children,0
October,0,all_households,2020-04-01,2020-04-30,Q8b,with_children_and_adults,0
October,0,all_households,2020-04-01,2020-04-30,Q8b,with_only_children,0
October,0,all_households,2020-04-01,2020-04-30,Q8b,unknown_household_type,0
