"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",152,8,30
"""Adults with Only Other Income""",179,34,20
"""Adults with Both Earned and Other Income""",31,0,6
"""Adults with No Income""",450,17,139
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,0
"""Adults with Missing Income Information""",19,0,4
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,357,0
"""Number of Adult Stayers without Required Annual Assessment""",0,222,0
"""Total Adults""",837,638,199
"""1 or More Source of Income""",404,43,65
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
