"""Total Number of Persons Served""",1091
"""Number of Adults (age 18 or over)""",837
"""Number of Children (under age 18)""",245
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",229
"""Number of Adult Leavers""",199
"""Number of Adult and Head of Household Leavers""",199
"""Number of Stayers""",862
"""Number of Adult Stayers""",638
"""Number of Veterans""",49
"""Number of Chronically Homeless Persons""",158
"""Number of Youth Under Age 25""",60
"""Number of Parenting Youth Under Age 25 with Children""",13
"""Number of Adult Heads of Household""",685
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",281
