, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",2,2,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",46,28,18,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",5,3,2,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",7,4,3,0,0
"""Staying or living with friends, permanent tenure""",5,5,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,1,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",18,5,13,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",84,48,36,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",20,16,4,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Staying or living with family, temporary tenure""",17,17,0,0,0
"""Staying or living with friends, temporary tenure""",16,16,0,0,0
"""Place not meant for human habitation""",42,31,11,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",27,27,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",123,108,15,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",4,4,0,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",7,7,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",1,1,0,0,0
"""Client Doesn't Know/Client Refused""",5,5,0,0,0
"""Data Not Collected (no exit interview completed)""",9,7,2,0,0
"""Subtotal""",15,13,2,0,0
"""Total""",229,176,53,0,0
"""Total persons exiting to positive housing destinations""",38,14,24,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.17,0.08,0.45,0.0,0.0
