, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",134,110,24,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",195,178,17,0,0
"""Safe Haven""",2,1,1,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",335,293,42,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",4,4,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",14,14,0,0,0
"""Jail, prison or juvenile detention facility""",18,18,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Subtotal""",40,40,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",7,7,0,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,1,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",180,131,47,0,2
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",5,4,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",89,68,20,0,1
"""Staying or living in a friend''s room, apartment or house""",76,61,15,0,0
"""Staying or living in a family member''s room, apartment or house""",82,54,28,0,0
"""Client Doesn''t Know/Client Refused""",1,1,0,0,0
"""Data not collected""",19,14,5,0,0
"""Subtotal""",462,343,116,0,3
"""Total""",837,676,158,0,3
