, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",12,15,27,0.44,3,7,10,0.3,0,0,0,0.0
"""Supplemental Security Income (SSI)""",6,1,7,0.86,2,0,2,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",11,2,13,0.85,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Other source""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""No Sources""",21,25,46,0.46,3,4,7,0.43,0,0,0,0.0
"""Unduplicated Total Adults""",46,43,89,,8,11,19,,0,0,0,
