, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",316,11,65
"""$1 -  $150""",2,0,0
"""$151 - $250""",7,0,0
"""$251 - $500""",21,1,4
"""$501 - $1000""",136,19,21
"""$1001 - $1500""",76,12,14
"""$1501 - $2000""",60,6,8
"""$2001+""",60,4,9
"""Client Doesn't Know/Client Refused""",1,0,0
"""Data Not Collected""",158,6,78
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,357,0
"""Number of Adult Stayers without Required Annual Assessment""",0,222,0
"""Total Adults""",837,638,199
