number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,112
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,2
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,27
Adults with Only Other Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,94
Adults with Only Other Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,23
Adults with Only Other Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,15
Adults with Both Earned and Other Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,20
Adults with Both Earned and Other Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,3
Adults with No Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,168
Adults with No Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,10
Adults with No Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,40
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,210
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,72
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,403
Total Adults,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,317
Total Adults,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,86
1 or More Source of Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,242
1 or More Source of Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,28
1 or More Source of Income,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,50
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_annual_assessment_stayers,35
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-04-01,2016-04-30,Q18,number_of_adults_at_exit_leavers,0
