report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,532,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adults (age 18 or over),403,all_persons,2016-04-01,2016-04-30,Q5a
Number of Children (under age 18),128,all_persons,2016-04-01,2016-04-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2016-04-01,2016-04-30,Q5a
Number of Leavers,115,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adult Leavers,86,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adult and Head of Household Leavers,88,all_persons,2016-04-01,2016-04-30,Q5a
Number of Stayers,417,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adult Stayers,317,all_persons,2016-04-01,2016-04-30,Q5a
Number of Veterans,22,all_persons,2016-04-01,2016-04-30,Q5a
Number of Chronically Homeless Persons,48,all_persons,2016-04-01,2016-04-30,Q5a
Number of Youth Under Age 25,26,all_persons,2016-04-01,2016-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,10,all_persons,2016-04-01,2016-04-30,Q5a
Number of Adult Heads of Household,329,all_persons,2016-04-01,2016-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2016-04-01,2016-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,108,all_persons,2016-04-01,2016-04-30,Q5a
