ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,48,all_persons,2016-04-01,2016-04-30,Q26b,without_children,46
Chronically Homeless ,48,all_persons,2016-04-01,2016-04-30,Q26b,with_children_and_adults,2
Chronically Homeless ,48,all_persons,2016-04-01,2016-04-30,Q26b,with_only_children,0
Chronically Homeless ,48,all_persons,2016-04-01,2016-04-30,Q26b,unknown_household_type,0
Not Chronically Homeless,417,all_persons,2016-04-01,2016-04-30,Q26b,without_children,196
Not Chronically Homeless,417,all_persons,2016-04-01,2016-04-30,Q26b,with_children_and_adults,217
Not Chronically Homeless,417,all_persons,2016-04-01,2016-04-30,Q26b,with_only_children,4
Not Chronically Homeless,417,all_persons,2016-04-01,2016-04-30,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2016-04-01,2016-04-30,Q26b,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2016-04-01,2016-04-30,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2016-04-01,2016-04-30,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2016-04-01,2016-04-30,Q26b,unknown_household_type,0
Data Not Collected,66,all_persons,2016-04-01,2016-04-30,Q26b,without_children,51
Data Not Collected,66,all_persons,2016-04-01,2016-04-30,Q26b,with_children_and_adults,13
Data Not Collected,66,all_persons,2016-04-01,2016-04-30,Q26b,with_only_children,0
Data Not Collected,66,all_persons,2016-04-01,2016-04-30,Q26b,unknown_household_type,2
