, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",1,1,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",40,19,21,0,0
"""Rental by client, with VASH subsidy""",2,2,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",13,3,10,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",11,2,9,0,0
"""Staying or living with friends, permanent tenure""",6,4,2,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",16,6,10,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",89,37,52,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",21,16,5,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",19,17,2,0,0
"""Staying or living with friends, temporary tenure""",13,11,2,0,0
"""Place not meant for human habitation""",23,20,3,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",56,31,25,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",132,95,37,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",5,5,0,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",8,8,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",3,3,0,0,0
"""Other""",2,2,0,0,0
"""Client Doesn't Know/Client Refused""",13,10,0,0,3
"""Data Not Collected (no exit interview completed)""",11,11,0,0,0
"""Subtotal""",29,26,0,0,3
"""Total""",258,166,89,0,3
"""Total persons exiting to positive housing destinations""",50,20,30,0,0
"""Total persons whose destinations excluded them from the calculation""",5,5,0,0,0
"""Percentage""",0.2,0.12,0.34,0.0,0.0
