, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",257,7,45
"""Unemployment Insurance""",5,0,0
"""Supplemental Security Income (SSI)""",145,20,27
"""Social Security Disability Insurance (SSDI)""",112,14,21
"""VA Service - Connected Disability Compensation""",8,2,3
"""VA Non-Service Connected Disability Pension""",4,4,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",18,1,5
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",25,3,1
"""Pension or retirement income from a former job""",8,1,1
"""Child Support""",12,0,2
"""Alimony and other spousal support""",1,0,1
"""Other Source""",8,1,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
