, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",176,143,33,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",290,263,27,0,0
"""Safe Haven""",8,7,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",477,416,61,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",11,11,0,0,0
"""Substance abuse treatment facility or detox center""",12,12,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",31,31,0,0,0
"""Jail, prison or juvenile detention facility""",44,44,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",3,3,0,0,0
"""Subtotal""",101,101,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,3,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,10,0,0,0
"""Owned by client, with ongoing housing subsidy""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",4,2,2,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",216,150,63,0,3
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,1,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",11,7,4,0,0
"""Hotel or motel paid for without emergency shelter voucher""",165,122,42,0,1
"""Staying or living in a friend''s room, apartment or house""",119,100,19,0,0
"""Staying or living in a family member''s room, apartment or house""",122,82,40,0,0
"""Client Doesn''t Know/Client Refused""",19,17,0,0,2
"""Data not collected""",46,27,17,0,2
"""Subtotal""",721,525,188,0,8
"""Total""",1299,1042,249,0,8
