"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",225,7,36
"""Adults with Only Other Income""",241,38,34
"""Adults with Both Earned and Other Income""",29,0,7
"""Adults with No Income""",745,14,119
"""Adults with Client Doesn't Know/Client Refused Income Information""",3,0,0
"""Adults with Missing Income Information""",46,0,6
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,649,0
"""Number of Adult Stayers without Required Annual Assessment""",0,384,0
"""Total Adults""",1294,1092,202
"""1 or More Source of Income""",552,46,81
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
