, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",16,21,37,0.43,1,8,9,0.11,0,0,0,0.0
"""Supplemental Security Income (SSI)""",27,2,29,0.93,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",20,1,21,0.95,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",3,0,3,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",2,0,2,1.0,2,1,3,0.67,0,0,0,0.0
"""Retirement Income from Social Security""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Other source""",2,1,3,0.67,0,0,0,0.0,0,0,0,0.0
"""No Sources""",14,29,43,0.33,2,7,9,0.22,0,0,0,0.0
"""Unduplicated Total Adults""",63,50,113,,5,15,20,,0,0,0,
