"""Total Number of Persons Served""",1670
"""Number of Adults (age 18 or over)""",1294
"""Number of Children (under age 18)""",360
"""Number of Persons with Unknown Age""",16
"""Number of Leavers""",258
"""Number of Adult Leavers""",202
"""Number of Adult and Head of Household Leavers""",203
"""Number of Stayers""",1412
"""Number of Adult Stayers""",1092
"""Number of Veterans""",76
"""Number of Chronically Homeless Persons""",213
"""Number of Youth Under Age 25""",95
"""Number of Parenting Youth Under Age 25 with Children""",14
"""Number of Adult Heads of Household""",1051
"""Number of Child and Unknown-Age Heads of Household""",5
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",443
