veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,19,all_persons,2020-05-01,2020-05-31,Q25a,without_children,19
Chronically Homeless Veteran,19,all_persons,2020-05-01,2020-05-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,19,all_persons,2020-05-01,2020-05-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,32,all_persons,2020-05-01,2020-05-31,Q25a,without_children,30
Non-Chronically Homeless Veteran,32,all_persons,2020-05-01,2020-05-31,Q25a,with_children_and_adults,2
Non-Chronically Homeless Veteran,32,all_persons,2020-05-01,2020-05-31,Q25a,unknown_household_type,0
Not a Veteran,770,all_persons,2020-05-01,2020-05-31,Q25a,without_children,622
Not a Veteran,770,all_persons,2020-05-01,2020-05-31,Q25a,with_children_and_adults,145
Not a Veteran,770,all_persons,2020-05-01,2020-05-31,Q25a,unknown_household_type,3
Client Doesn't Know/Client Refused,1,all_persons,2020-05-01,2020-05-31,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2020-05-01,2020-05-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2020-05-01,2020-05-31,Q25a,unknown_household_type,0
Data Not Collected,9,all_persons,2020-05-01,2020-05-31,Q25a,without_children,6
Data Not Collected,9,all_persons,2020-05-01,2020-05-31,Q25a,with_children_and_adults,3
Data Not Collected,9,all_persons,2020-05-01,2020-05-31,Q25a,unknown_household_type,0
