count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,512,109,180,start,2020-05-01,2020-05-31,Q13a2,without_children,203
None,512,109,180,start,2020-05-01,2020-05-31,Q13a2,with_only_children,12
None,512,109,180,start,2020-05-01,2020-05-31,Q13a2,unknown_household_type,8
1 Condition,244,22,10,start,2020-05-01,2020-05-31,Q13a2,without_children,211
1 Condition,244,22,10,start,2020-05-01,2020-05-31,Q13a2,with_only_children,0
1 Condition,244,22,10,start,2020-05-01,2020-05-31,Q13a2,unknown_household_type,1
2 Conditions,121,8,2,start,2020-05-01,2020-05-31,Q13a2,without_children,111
2 Conditions,121,8,2,start,2020-05-01,2020-05-31,Q13a2,with_only_children,0
2 Conditions,121,8,2,start,2020-05-01,2020-05-31,Q13a2,unknown_household_type,0
3+ Conditions,94,1,0,start,2020-05-01,2020-05-31,Q13a2,without_children,93
3+ Conditions,94,1,0,start,2020-05-01,2020-05-31,Q13a2,with_only_children,0
3+ Conditions,94,1,0,start,2020-05-01,2020-05-31,Q13a2,unknown_household_type,0
Condition Unknown,52,2,1,start,2020-05-01,2020-05-31,Q13a2,without_children,49
Condition Unknown,52,2,1,start,2020-05-01,2020-05-31,Q13a2,with_only_children,0
Condition Unknown,52,2,1,start,2020-05-01,2020-05-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,start,2020-05-01,2020-05-31,Q13a2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,start,2020-05-01,2020-05-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,start,2020-05-01,2020-05-31,Q13a2,unknown_household_type,0
Data Not Collected,49,8,25,start,2020-05-01,2020-05-31,Q13a2,without_children,10
Data Not Collected,49,8,25,start,2020-05-01,2020-05-31,Q13a2,with_only_children,3
Data Not Collected,49,8,25,start,2020-05-01,2020-05-31,Q13a2,unknown_household_type,3
