number_of_youth_by_income_category,population,start_date,end_date,question,status,count
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,16
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Only Other Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,9
Youth with Only Other Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,4
Youth with Both Earned and Other Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,34
Youth with No Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,7
Youth with Client Doesn't Know/Client Refused Income Information,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,28
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,20
Number of Youth Stayers without Required Annual Assessment,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,61
Total Youth,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,48
Total Youth,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,13
1 or More Source of Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,29
1 or More Source of Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,7
Youth with Income Information at Start and Annual Assessment/Exit,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2020-05-01,2020-05-31,Q27h,number_of_youth_at_exit_leavers,0
