race,total,population,start_date,end_date,question,household_type,count
White,735,all_persons,2020-05-01,2020-05-31,Q12a,without_children,483
White,735,all_persons,2020-05-01,2020-05-31,Q12a,with_children_and_adults,239
White,735,all_persons,2020-05-01,2020-05-31,Q12a,with_only_children,9
White,735,all_persons,2020-05-01,2020-05-31,Q12a,unknown_household_type,4
"Black, African American, or African",232,all_persons,2020-05-01,2020-05-31,Q12a,without_children,145
"Black, African American, or African",232,all_persons,2020-05-01,2020-05-31,Q12a,with_children_and_adults,82
"Black, African American, or African",232,all_persons,2020-05-01,2020-05-31,Q12a,with_only_children,3
"Black, African American, or African",232,all_persons,2020-05-01,2020-05-31,Q12a,unknown_household_type,2
Asian or Asian American,6,all_persons,2020-05-01,2020-05-31,Q12a,without_children,3
Asian or Asian American,6,all_persons,2020-05-01,2020-05-31,Q12a,with_children_and_adults,0
Asian or Asian American,6,all_persons,2020-05-01,2020-05-31,Q12a,with_only_children,0
Asian or Asian American,6,all_persons,2020-05-01,2020-05-31,Q12a,unknown_household_type,3
"American Indian, Alaska Native, or Indigenous",6,all_persons,2020-05-01,2020-05-31,Q12a,without_children,6
"American Indian, Alaska Native, or Indigenous",6,all_persons,2020-05-01,2020-05-31,Q12a,with_children_and_adults,0
"American Indian, Alaska Native, or Indigenous",6,all_persons,2020-05-01,2020-05-31,Q12a,with_only_children,0
"American Indian, Alaska Native, or Indigenous",6,all_persons,2020-05-01,2020-05-31,Q12a,unknown_household_type,0
Native Hawaiian or Pacific Islander,5,all_persons,2020-05-01,2020-05-31,Q12a,without_children,5
Native Hawaiian or Pacific Islander,5,all_persons,2020-05-01,2020-05-31,Q12a,with_children_and_adults,0
Native Hawaiian or Pacific Islander,5,all_persons,2020-05-01,2020-05-31,Q12a,with_only_children,0
Native Hawaiian or Pacific Islander,5,all_persons,2020-05-01,2020-05-31,Q12a,unknown_household_type,0
Multiple Races,71,all_persons,2020-05-01,2020-05-31,Q12a,without_children,28
Multiple Races,71,all_persons,2020-05-01,2020-05-31,Q12a,with_children_and_adults,40
Multiple Races,71,all_persons,2020-05-01,2020-05-31,Q12a,with_only_children,3
Multiple Races,71,all_persons,2020-05-01,2020-05-31,Q12a,unknown_household_type,0
Client Doesn't Know/Client Refused,6,all_persons,2020-05-01,2020-05-31,Q12a,without_children,6
Client Doesn't Know/Client Refused,6,all_persons,2020-05-01,2020-05-31,Q12a,with_children_and_adults,0
Client Doesn't Know/Client Refused,6,all_persons,2020-05-01,2020-05-31,Q12a,with_only_children,0
Client Doesn't Know/Client Refused,6,all_persons,2020-05-01,2020-05-31,Q12a,unknown_household_type,0
Data Not Collected,12,all_persons,2020-05-01,2020-05-31,Q12a,without_children,2
Data Not Collected,12,all_persons,2020-05-01,2020-05-31,Q12a,with_children_and_adults,7
Data Not Collected,12,all_persons,2020-05-01,2020-05-31,Q12a,with_only_children,0
Data Not Collected,12,all_persons,2020-05-01,2020-05-31,Q12a,unknown_household_type,3
