count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_entry,512
No Sources,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,24
No Sources,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_exit_for_leavers,117
1 + Source(s),all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_entry,240
1 + Source(s),all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,33
1 + Source(s),all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_exit_for_leavers,52
Client Doesn't Know/Client Refused,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_entry,78
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,579
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-05-01,2020-05-31,Q20b,benefit_at_exit_for_leavers,25
