income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,6,16,22,0.27,0,10,10,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Supplemental Security Income (SSI),15,0,15,1.0,2,0,2,1.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Social Security Disability Insurance (SSDI),18,0,18,1.0,2,0,2,1.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
VA Service-Connected Disability Compensation,2,0,2,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,0,1,1,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Retirement Income from Social Security,2,2,4,0.5,0,0,0,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Child Support,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Other source,0,0,0,0.0,0,2,2,0.0,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
No Sources,18,36,54,0.33,3,3,6,0.5,0,0,0,0.0,adults,2020-05-01,2020-05-31,Q19b
Unduplicated Total Adults,56,53,109,NA,5,16,21,NA,0,0,0,NA,adults,2020-05-01,2020-05-31,Q19b
