"""Total Number of Persons Served""",1356
"""Number of Adults (age 18 or over)""",1045
"""Number of Children (under age 18)""",301
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",306
"""Number of Adult Leavers""",235
"""Number of Adult and Head of Household Leavers""",235
"""Number of Stayers""",1050
"""Number of Adult Stayers""",810
"""Number of Veterans""",67
"""Number of Chronically Homeless Persons""",166
"""Number of Youth Under Age 25""",73
"""Number of Parenting Youth Under Age 25 with Children""",10
"""Number of Adult Heads of Household""",852
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",403
