, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",17,14,31,0.55,1,8,9,0.11,0,0,0,0.0
"""Supplemental Security Income (SSI)""",16,2,18,0.89,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",17,0,17,1.0,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,0,2,2,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,3,0.33,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,0,1,1.0,0,1,1,0.0,0,0,0,0.0
"""Other source""",3,0,3,1.0,0,1,1,0.0,0,0,0,0.0
"""No Sources""",20,24,44,0.45,4,14,18,0.22,0,0,0,0.0
"""Unduplicated Total Adults""",63,40,103,,7,23,30,,0,0,0,
